iter	Passed	Remaining
0	3	339
1	8	437
2	14	456
3	16	398
4	20	381
5	26	411
6	30	403
7	34	398
8	38	389
9	42	381
10	45	370
11	48	354
12	51	343
13	55	338
14	58	329
15	61	322
16	64	314
17	68	311
18	71	305
19	74	298
20	77	291
21	81	288
22	84	283
23	87	276
24	91	274
25	95	271
26	99	268
27	102	263
28	107	262
29	115	268
30	118	263
31	122	260
32	125	254
33	134	261
34	141	262
35	149	265
36	155	265
37	160	261
38	163	255
39	166	249
40	169	244
41	170	235
42	173	230
43	176	224
44	179	219
45	183	215
46	186	210
47	189	205
48	193	201
49	198	198
50	203	195
51	205	190
52	208	184
53	216	184
54	217	178
55	222	174
56	224	169
57	231	167
58	237	164
59	246	164
60	250	160
61	258	158
62	266	156
63	269	151
64	272	146
65	280	144
66	283	139
67	287	135
68	292	131
69	296	127
70	299	122
71	304	118
72	308	114
73	311	109
74	315	105
75	320	101
76	323	96
77	328	92
78	332	88
79	335	83
80	339	79
81	342	75
82	345	70
83	350	66
84	353	62
85	356	58
86	359	53
87	363	49
88	366	45
89	369	41
90	371	36
91	375	32
92	378	28
93	382	24
94	385	20
95	389	16
96	394	12
97	397	8
98	402	4
99	407	0
